ServiceStationID,ServiceStationName,Address,Suburb,Postcode,Longitude,Latitude
1,Metro Petroleum Ballina,"323 River Street, BALLINA NSW 2478",BALLINA,2478.0,153.5504081,-28.865962449999998
2,Metro Petroleum Narwee,"32 Bryant St, NARWEE NSW 2209",NARWEE,2209.0,151.0735307,-33.9492092
3,Independent Kanahooka,"90-94 Lakeside Dr, KANAHOOKA NSW 2530",KANAHOOKA,2530.0,150.8175448,-34.5002584
4,Metro Peakhurst,"114 Boundary Road, PEAKHURST NSW 2210",PEAKHURST,2210.0,151.0640369,-33.9590581
5,Metro Revesby,"6,Doyle Rd, Revesby NSW 2210",Revesby,2210.0,151.0260996,-33.9517183
6,7-Eleven Dapto,"125-127 Princes Hwy, DAPTO NSW 2530",DAPTO,2530.0,150.7865768,-34.5098523
7,Westside Doonside,"13-15 Doonside Rd, Doonside NSW 2767",Doonside,2767.0,150.8741969,-33.7732348
8,Metro Fuel Cliftleigh,"80 Main Road, Cliftleigh NSW 2321",Cliftleigh,2321.0,151.5150157,-32.8010723
9,Metro Cessnock,"102 Wollombi Rd, CESSNOCK NSW 2325",CESSNOCK,2325.0,151.2557859,-32.8891724
10,Metro Petroleum Tarro,"107 Anderson Drive, TARRO NSW 2322",TARRO,2322.0,151.65885387765542,-32.8076023
11,Metro Petroleum Bexley North,"307-309 Bexley Rd, BEXLEY NORTH NSW 2207",BEXLEY NORTH,2207.0,151.1212972,-33.9440597
12,Metro Fuel Abermain,"289 Cessnock Road, Abermain NSW 2326",Abermain,2326.0,151.4223245,-32.8188723
13,Metro Petroleum Bellbird,"380 Wollombi Rd, BELLBIRD NSW 2325",BELLBIRD,2325.0,151.3202623,-32.8599681
14,Randwick Petroleum,"88 Clovelly Rd, RANDWICK NSW 2031",RANDWICK,2031.0,151.2478693,-33.9084119
15,METRO CROYDON PARK,"274 Georges River Road, CROYDON PARK NSW 2133",CROYDON PARK,2133.0,151.1142459,-33.8939243
17,Metro Petroleum Earlwood,"281 HOMER ST, EARLWOOD NSW 2206",EARLWOOD,2206.0,151.1249592,-33.9269303
18,BP Wyoming,"481 Pacific Highway, Wyoming NSW 2250",Wyoming,2250.0,151.3509096,-33.4050385
19,Coles Express Dapto,"152-158 Princes Hwy, Dapto NSW 2530",Dapto,2530.0,150.7923250656537,-34.496177700000004
20,Metro Fuel Killarney Heights,"702-704 Warringah Road, Forestville NSW 2087",Forestville,2087.0,151.2203962,-33.756723
21,Independent Bermagui NSW,"126 Lamont Street, Bermagui NSW NSW 2456",Bermagui NSW,2456.0,150.0801522,-36.4244543
28,7-Eleven Minchinbury,"1042 Great Western Highway, Minchinbury NSW 2770",Minchinbury,2770.0,150.8121512,-33.7787615
30,Metro Fuel Haberfield,"163-165 PARRAMATTA RD, HABERFIELD NSW 2045",HABERFIELD,2045.0,151.1303693,-33.877832
32,Shell Cardiff,"200 Main Road, Cardiff NSW 2285",Cardiff,2285.0,151.6553418,-32.9336174
33,Metro Petroleum Rosebery,"395 GARDENERS RD, ROSEBERY NSW 2018",ROSEBERY,2018.0,151.2113451,-33.9235094
34,Powerfuel,"101 Blaxcell St, GRANVILLE NSW 2142",GRANVILLE,2142.0,151.0102739,-33.8427872
36,BP Springwood,"28 Great Western Highway, Valley Heights NSW 2777",Valley Heights,2777.0,150.5818272,-33.7016307
37,Budget Kingsgrove,"2 Commercial Rd, Kingsgrove NSW 2208",Kingsgrove,2208.0,151.0986187,-33.940313
38,Caltex Woolworths Dapto,"83 Byamee Street, Dapto NSW 2530",Dapto,2530.0,150.803152,-34.4990571
40,SHELL COLYTON,"88 GREAT WESTERN HIGHWAY, COLYTON NSW 2760",COLYTON,2760.0,150.8025138,-33.7766975
41,Speedway Haberfield,"273 Parramatta Rd, Haberfield NSW 2045",Haberfield,2045.0,151.1303693,-33.877832
42,SHELL CONDELL PARK,"228 Edgar Street, Condell Park NSW 2200",Condell Park,2200.0,151.0134885,-33.9191123
43,Budget Moorebank,"68 Nuwarra Road, Moorebank NSW 2170",Moorebank,2170.0,150.9551513,-33.9303741
44,UNITED BERESFILED,"261 ANDERSON DR, BERESFIELD NSW 2322",BERESFIELD,2322.0,151.6407674,-32.7972228
45,Ampol Penrith,"2 Lugard St, PENRITH NSW 2750",PENRITH,2750.0,150.6937279,-33.7346748
